"","species","species_id_method","strain","isotype","previous_names","release","source_lab","latitude","longitude","landscape","locality_description","substrate","substrate_comments","substrate_temp","ambient_temp","ambient_humidity","associated_organism","inbreeding_state","sampled_by","isolated_by","sampling_date","sampling_date_comments","notes","set","issues","issue_notes","isotype_ref_strain","wgs_seq"
"1","Caenorhabditis briggsae","ITS2","ECA2879",NA,"S-14532",NA,"ECA",21.4012162,-157.896222900233,"Wild forest","Oahu, Aiea Loop Trail","Vegetal_litter/mix","Guava Grove, dried guava",21.3,22.4,82.2,NA,NA,"erik.andersen@northwestern.edu","robyn.tanny@northwestern.edu",2021-06-26,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"2","Caenorhabditis briggsae","ITS2","ECA2878",NA,"S-14517",NA,"ECA",21.4012162,-157.896222900233,"Wild forest","Oahu, Aiea Loop Trail","Vegetal_litter/mix","Guava Grove, dried guava",21.3,22.4,82.2,NA,NA,"erik.andersen@northwestern.edu","robyn.tanny@northwestern.edu",2021-06-26,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"3","Caenorhabditis briggsae","ITS2","ECA2876",NA,"S-14440",NA,"ECA",21.4012162,-157.896222900233,"Wild forest","Oahu, Aiea Loop Trail","Vegetal_litter/mix","Guava Grove, dried guava",21.3,22.4,82.2,NA,NA,"erik.andersen@northwestern.edu","robyn.tanny@northwestern.edu",2021-06-26,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"4","Caenorhabditis briggsae","ITS2","ECA2875",NA,"S-14439",NA,"ECA",21.4012162,-157.896222900233,"Wild forest","Oahu, Aiea Loop Trail","Vegetal_litter/mix","Guava Grove, dried guava",21.3,22.4,82.2,NA,NA,"erik.andersen@northwestern.edu","robyn.tanny@northwestern.edu",2021-06-26,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"5","Caenorhabditis briggsae","ITS2","ECA2877",NA,"S-14486",NA,"ECA",21.4012162,-157.896222900233,"Wild forest","Oahu, Aiea Loop Trail","Vegetal_litter/mix","Guava Grove, dried guava",21.3,22.4,82.2,NA,NA,"erik.andersen@northwestern.edu","robyn.tanny@northwestern.edu",2021-06-26,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"6","Caenorhabditis briggsae","ITS2","ECA2890",NA,"S-14613",NA,"ECA",21.355772099999,-157.765345699999,"Wild forest","Oahu","Rotting_nut/pod/seed/fruit","Isopods under and inside",24.1,27.9,74.6,NA,NA,"erik.andersen@northwestern.edu","emily.koury@northwestern.edu",2021-06-27,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"7","Caenorhabditis oiwi","ITS2","ECA2880",NA,"S-14542",NA,"ECA",21.3561975,-157.764750699999,"Wild forest","Oahu","Rotting_nut/pod/seed/fruit","",24.7,28.6,80.9,NA,NA,"erik.andersen@northwestern.edu","emily.koury@northwestern.edu",2021-06-27,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"8","Caenorhabditis briggsae","ITS2","ECA2883",NA,"S-14561",NA,"ECA",21.3570225,-157.764294100002,"Wild forest","Oahu","Rotting_flower","",23.6,27.2,75.5,NA,NA,"erik.andersen@northwestern.edu","emily.koury@northwestern.edu",2021-06-27,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"9","Caenorhabditis briggsae","ITS2","ECA2891",NA,"S-14617",NA,"ECA",21.3570225,-157.764294100002,"Wild forest","Oahu","Rotting_flower","",23.6,27.2,75.5,NA,NA,"erik.andersen@northwestern.edu","emily.koury@northwestern.edu",2021-06-27,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"10","Caenorhabditis briggsae","ITS2","ECA2892",NA,"S-14618",NA,"ECA",21.3570225,-157.764294100002,"Wild forest","Oahu","Rotting_flower","",23.6,27.2,75.5,NA,NA,"erik.andersen@northwestern.edu","emily.koury@northwestern.edu",2021-06-27,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
